Item_Id,Low_Cap_Price
IT_265079,2724.78
IT_265087,1744.96
IT_265107,5214.09
IT_265139,7073.8
IT_265142,1821.74
IT_265144,996.32
IT_265148,2960.17
IT_265156,4974.63
IT_265162,4550.76
IT_265170,5126.59
IT_265175,9016.39
IT_265181,8039.97
IT_265183,7785.66
IT_265184,8065.06
IT_265196,7604.06
IT_265201,11144.3
IT_265205,10699.57
IT_265244,1857.19
IT_265255,6409.69
IT_265259,3084.46
IT_265264,5578.23
IT_265274,1910.65
IT_265275,2173.19
IT_265294,719.37
IT_265315,7692.11
IT_265317,2887.06
IT_265332,8081.33
IT_265338,7202.441999999999
IT_265339,8075.83
IT_265341,7897.45
IT_265349,8171.39
IT_265350,7159.702666666666
IT_265360,9948.83
IT_265379,2786.22
IT_265382,9708.75
IT_265417,5246.01
IT_265448,1881.73
IT_265455,3145.6
IT_265482,8862.91
IT_265490,7854.53
IT_265495,9912.02
IT_265499,7834.512
IT_265500,7475.1
IT_265504,10813.24
IT_265507,7842.33
IT_265533,8192.82
IT_265566,5312.01
IT_265568,1866.78
IT_265575,8261.16
IT_265577,3000.0
IT_265581,4343.94
IT_265611,8977.0
IT_265615,2693.58
IT_265647,3082.07
IT_265697,6869.46
IT_265701,2860.87
IT_265702,2108.45
IT_265703,880.71
IT_265720,4049.84
IT_265734,9479.02
IT_265736,7080.615333333333
IT_265740,8020.79
IT_265742,7983.3
IT_265747,8410.17
IT_265751,7008.183333333333
IT_265757,11139.72
IT_265792,7669.74
IT_265816,2661.52
IT_265819,2168.12
IT_265866,8552.13
IT_265869,6888.87
IT_265874,1537.0
IT_265880,2842.93
IT_265905,9418.98
IT_265911,8080.91
IT_265922,11284.46
IT_265927,10275.29
IT_265932,11047.42
IT_265935,7961.61
IT_265948,2754.33
IT_265966,7460.62
IT_265976,1844.59
IT_265999,3498.6
IT_266030,2403.86
IT_266056,1401.12
IT_266058,2895.34
IT_266060,755.75
IT_266069,2681.31
IT_266096,9590.86
IT_266103,9701.91
IT_266111,8316.77
IT_266115,8254.69
IT_266124,11294.64
IT_266128,11078.31
IT_266132,7700.31
IT_266137,7908.04
IT_266141,3942.94
IT_266155,14334.96
IT_266157,6977.31
IT_266166,7651.8
IT_266175,3410.66
IT_266188,4446.42
IT_266255,480.45
IT_266258,1661.71
IT_266264,2788.61
IT_266281,10565.86
IT_266298,9423.29
IT_266299,7803.59
IT_266307,7685.78
IT_266318,7160.06
IT_266322,10707.56
IT_266324,7464.6
IT_266334,8278.74
IT_266338,3894.01
IT_266354,6705.53
IT_266366,2885.36
IT_266376,3932.05
IT_266402,2415.29
IT_266413,2029.28
IT_266453,1006.78
IT_266498,9683.18
IT_266499,1066.58
IT_266506,8165.05
IT_266514,8236.58
IT_266523,10622.09
