Product_id,Selling_Price
SCHE4YSTDVPVZVXW,3216.5562406199997
ACCEGCATKHNRXUHW,1924.6273478200008
NKCE6GJ5XVJDXNNZ,11178.180030984928
NKCEB8BK3ZXDHDHM,9465.352483857214
TOPEFDXSAHRNPF94,5697.997252849999
ACCE558KZHEPZYMG,9398.859747749997
ACCEAZCVAMFHDPY7,5339.283172299999
NKCDYNY37JPBGBVM,2593.6831522699995
NKCEY8KWY33FCUYD,7625.1011376999995
RNGE4YPTQYRECV9J,4586.600984629998
NKCE88AHBHJZREXH,3866.8882845200014
CLTEJ5ZZGBP4JGGE,8031.6133341
WATE3NWH5FZWAMDA,8235.5622047
CAGE53FSFZVFPFHQ,1655.0869815200003
PCSEAKVBFFPGCHNZ,3849.61941475
WATDFFH3KJYBTYGG,7192.600753920008
NKCDWHFQSCHHYZMP,2737.781936359998
RNGEB2PG3Q5RKDW6,3430.28496568
NKCE5UY9HHPZGGUZ,4458.272968989997
KTAEHETW3ZCMFMJR,4037.4565549500026
BRAEBBYRVF9MHJHU,6940.327758113146
NKCEAX7HAQ2RJA3Q,10242.520457760003
CRTECN2RQZWBSP9W,4998.3200359
WATDEWZ9UHSEHGZG,9334.086170580003
PTPEYW8HNV6G9YYR,2825.4206882500002
ACCEAMGZRRYVAHDC,4961.31451299
SRTEHHXG8MUXTGPA,5990.944652004429
SKIE4S4NN4MHYM3Z,5109.8931851588595
HMBE7G34YHWPWKYN,7098.362562309995
LLIEGTMFJBD7ZZZM,13876.055822080009
ACCEJGH6JVTM4CBH,841.3873327109998
ACCDQDYBXJ9HZF37,10139.737716089998
RNGE88FRGZCXNKUG,602.944363524214
NKCE7M3QNNPZDXHQ,9431.262272365433
VLBEGFFDP9H6WG2T,3517.370545210001
TOPEAFG4YEQSH5TT,2446.5326012599985
WATEYAP3K2QQQWDH,5221.30595602
PCSEBDFUFJWGARNX,10710.239311500001
SWTEGXQFZY95SKG7,4864.723889189997
BRAEGJFXSM9ZQ6SK,6974.051919854425
CAGE6FYKP34GA4GF,7435.380868110004
HMBEJCMH78VJF3M8,4351.047220470003
HIFEB7J3GSTVN5XJ,10499.586946704434
PBXE6ZHNGZREWWHR,4606.168948629998
PCSEAKVBNXFGZBKB,6791.947840850002
BRAEBBMQQNZ9RZWR,5792.594624890002
ACCEGKFCXHZZH44S,737.2489085174997
SHODXQRRGKZ74U9M,4303.114996009998
DREE2Y6DVEKVVQQS,4488.6158022399995
PBXE8ZHHG5Y525BT,6829.206740334434
